month,tonnes
2014-11-01,25955650.37
2014-12-01,37393550.343
2015-01-01,23302216.398
2015-02-01,25259659.341
2015-03-01,30783268.904
2015-04-01,28735340.631
2015-05-01,27690767.526
2015-06-01,32028566.445
2015-07-01,34007331.255
2015-08-01,27124069.563
2015-09-01,35605682.241
2015-10-01,33009398.96
2015-11-01,28000358.52
2015-12-01,39507790.041
2016-01-01,25037249.433
2016-02-01,29946437.884
2016-03-01,30317605.026
2016-04-01,28987405.35
2016-05-01,34005707.371
2016-06-01,29018724.903
2016-07-01,30251463.83
2016-08-01,34502464.42
2016-09-01,35328283.409
2016-10-01,30011709.46
2016-11-01,31439488.38
2016-12-01,35116428.78
2017-01-01,28915371.566
2017-02-01,25731764.77
2017-03-01,36395469.549
2017-04-01,24048570.939
2017-05-01,35111854.77
2017-06-01,33789202.35
2017-07-01,31308784.448
2017-08-01,34125980.32
2017-09-01,31934166.58
2017-10-01,35257673.843
2017-11-01,34151971.31
2017-12-01,32766361.75
2018-01-01,30439951.47
2018-02-01,23785102.884
2018-03-01,29952911.315
2018-04-01,25877986.947
2018-05-01,34618108.025
2018-06-01,35291250.731
2018-07-01,35956025.799
2018-08-01,35621273.316
2018-09-01,33903927.53
2018-10-01,37191204.081
2018-11-01,33966533.22
2018-12-01,33196349.271
2019-01-01,33135773.307
2019-02-01,28924989.073
2019-03-01,22182535.369
2019-04-01,18729772.202
2019-05-01,29874891.67
2019-06-01,29657647.279
2019-07-01,34228094.723
2019-08-01,33818329.566
2019-09-01,31940457.001
2019-10-01,34136907.265
2019-11-01,29270678.729
2019-12-01,25060063.998
2020-01-01,26760403.681
2020-02-01,21798207.911
2020-03-01,21212732.881
2020-04-01,23989669.287
2020-05-01,21576599.576
2020-06-01,30018846.265
2020-07-01,34101516.54
2020-08-01,31193457.112
2020-09-01,37472906.603
2020-10-01,31118953.186
2020-11-01,29148348.494
2020-12-01,33120248.082
2021-01-01,28926439.963
2021-02-01,23996704.049
2021-03-01,28331899.363
2021-04-01,25618380.916
2021-05-01,26538322.403
2021-06-01,33545936.037
2021-07-01,31560509.628
2021-08-01,34683354.114
2021-09-01,33376343.438
2021-10-01,30770817.629
2021-11-01,28786375.236
2021-12-01,31135491.108
2022-01-01,24894013.319
2022-02-01,18654057.201
2022-03-01,28497813.761
2022-04-01,24728715.331
2022-05-01,25431266.134
2022-06-01,32024469.653
2022-07-01,31816601.925
2022-08-01,33303585.476
2022-09-01,36121701.204
2022-10-01,26685041.962
2022-11-01,29922530.496
2022-12-01,31920070.5
2023-01-01,24573099.914
2023-02-01,23302270.41
2023-03-01,27145767.022
2023-04-01,24872290.331
2023-05-01,35048724.998
2023-06-01,34226187.142
2023-07-01,31710451.155
2023-08-01,37328703.459
2023-09-01,35590988.014
2023-10-01,33593348.338
2023-11-01,31415854.942
2023-12-01,39331697.236
2024-01-01,29264439.567
2024-02-01,28198174.34
2024-03-01,26326250.643
2024-04-01,29633982.404
2024-05-01,32648055.414
2024-06-01,33099647.244
2024-07-01,39255049.342
2024-08-01,34240512.75
2024-09-01,36780787.589
2024-10-01,35214899.705
2024-11-01,33484438.851
2024-12-01,30569960.273
2025-01-01,30890242.653
2025-02-01,25319994.284
2025-03-01,28001221.853
2025-04-01,30071596.703
2025-05-01,34772655.74
2025-06-01,35866445.531
2025-07-01,40819812.233
2025-08-01,39819349.821
2025-09-01,36217280.816
2025-10-01,40112134.27
2025-11-01,34312919.541
2025-12-01,40046779.593
2026-01-01,28402260.192
2026-02-01,28400144.97
2026-03-01,27934094.402
2026-04-01,34469170.435
2026-05-01,27988301.941
2026-06-01,42230031.572
